AFG,2
AGO,2
ALB,1
ARE,2
ARG,3
ARM,1
AUS,2
AUT,2
AZE,2
BDI,2
BEL,2
BEN,2
BFA,2
BGD,3
BGR,2
BHR,1
BIH,1
BLR,2
BOL,2
BRA,3
BWA,1
CAF,1
CAN,2
CHE,2
CHL,2
CHN,3
CIV,2
COD,3
COG,1
CRI,1
CUB,2
CYP,1
CZE,2
DEU,3
DNK,2
DOM,2
EMU,3
ERI,1
ESP,3
EST,1
ETH,3
EUU,3
FIN,2
FRA,3
GAB,1
GBR,3
GEO,1
GHA,2
GIN,2
GMB,1
GNB,1
GNQ,1
GRC,2
GRL,1
GTM,2
HKG,2
HND,2
HRV,1
HTI,2
HUN,2
IDN,3
IND,3
IRL,1
IRN,3
IRQ,2
ISL,1
ISR,2
ITA,3
JAM,1
JOR,2
JPN,3
KAZ,2
KEN,3
KHM,2
KOR,3
KWT,1
LBN,2
LBR,1
LBY,2
LIE,1
LKA,2
LSO,1
LTU,1
LUX,1
LVA,1
MAC,1
MCO,1
MDG,2
MLI,2
MLT,1
MMR,3
MNG,1
MOZ,2
MRT,1
MUS,1
MWI,2
MYS,2
NAC,3
NAM,1
NER,2
NGA,3
NIC,2
NLD,2
NOR,2
NPL,2
NZL,1
OMN,1
PAK,3
PAN,1
PHL,3
PNG,2
POL,2
PRI,1
PRK,2
PRT,2
PRY,2
PSE,1
QAT,1
ROU,2
RUS,3
RWA,2
SAU,2
SDN,2
SEN,2
SGP,2
SLE,2
SLV,2
SOM,2
SRB,2
SSD,2
SVK,2
SVN,1
SWE,2
SWZ,1
SYR,2
TCD,2
TGO,2
THA,3
TJK,2
TKM,2
TLS,1
TTO,1
TUN,2
TUR,3
TZA,3
UGA,2
UKR,3
URY,1
USA,3
UZB,2
VEN,2
VNM,3
XKX,1
YEM,2
ZAF,3
ZMB,2
ZWE,2
